Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
101461,314,54476,40.6,employed,Rejected
49743,772,11090,25.53,unemployed,Rejected
153397,579,110408,21.01,unemployed,Rejected
83892,767,19958,49.02,unemployed,Rejected
177123,820,19300,7.87,unemployed,Rejected
109096,819,1336,20.63,unemployed,Rejected
173862,801,118059,8.48,unemployed,Rejected
107147,686,43176,32.52,employed,Approved
169893,692,108682,11.95,employed,Rejected
143987,690,87991,21.04,employed,Rejected
29704,429,20339,127.65,unemployed,Rejected
135423,402,60890,29.14,employed,Rejected
127473,458,62537,7.77,unemployed,Rejected
183383,707,22054,25.95,unemployed,Rejected
119617,624,95203,38.52,unemployed,Rejected
29410,370,21681,69.31,unemployed,Rejected
43692,744,7586,26.21,unemployed,Rejected
98503,329,43516,8.14,employed,Rejected
113969,683,20080,29.15,employed,Approved
128016,484,23946,12.61,employed,Rejected
182453,546,38517,20.62,employed,Rejected
187222,560,67932,18.76,employed,Approved
95400,461,58898,10.31,unemployed,Rejected
187493,734,120756,11.41,unemployed,Rejected
120845,794,32091,9.92,unemployed,Rejected
170683,602,6751,14.27,unemployed,Rejected
22122,350,17276,202.25,unemployed,Rejected
179138,660,50841,10.8,unemployed,Rejected
184691,399,11334,24.97,unemployed,Rejected
28746,673,3953,47.35,unemployed,Rejected
128921,479,18322,14.09,unemployed,Rejected
151542,579,34681,10.41,unemployed,Rejected
108792,417,10869,32.81,employed,Rejected
197294,706,96885,21.05,employed,Approved
23648,570,5049,169.84,unemployed,Rejected
196377,568,100883,22.05,unemployed,Rejected
196904,539,7560,18.23,unemployed,Rejected
189778,364,122704,24.58,unemployed,Rejected
50585,443,3438,15.76,unemployed,Rejected
50440,399,36228,40.42,employed,Rejected
138919,679,98404,35.23,unemployed,Rejected
128759,401,81694,28.79,unemployed,Rejected
28576,679,15528,67.32,unemployed,Rejected
115075,401,49147,43.39,unemployed,Rejected
124369,582,17011,14.02,unemployed,Rejected
193740,517,6598,24.29,employed,Rejected
83850,428,27896,50.09,employed,Rejected
173716,521,87129,11.67,employed,Rejected
92685,448,71807,14.59,unemployed,Rejected
48816,326,1973,27.94,unemployed,Rejected
174364,631,46677,3.46,unemployed,Rejected
53228,731,8448,74.17,employed,Rejected
137512,670,78812,28.1,employed,Approved
152078,526,6683,29.79,unemployed,Rejected
188647,331,126562,4.76,unemployed,Rejected
199856,410,117277,18.58,employed,Rejected
104439,451,17540,8.91,unemployed,Rejected
119851,843,60469,20.3,unemployed,Rejected
49992,520,30593,66.38,employed,Rejected
108848,764,55524,28.6,employed,Approved
131873,620,34408,36.84,unemployed,Rejected
144326,368,110022,7.61,employed,Rejected
133213,398,18054,22.09,employed,Rejected
195639,425,93693,16.32,unemployed,Rejected
95400,619,14579,29.4,employed,Approved
192159,793,29368,10.25,unemployed,Rejected
50116,585,15821,85.05,unemployed,Rejected
179644,573,48294,3.84,unemployed,Rejected
109082,659,24777,4.95,employed,Approved
38241,445,2004,121.58,employed,Rejected
76395,685,30730,42.56,unemployed,Rejected
117007,619,75395,22.44,employed,Rejected
60784,461,4261,74.84,employed,Rejected
136159,734,80570,27.05,unemployed,Rejected
91609,520,15918,42.11,unemployed,Rejected
49069,590,32891,100.77,unemployed,Rejected
77807,704,4590,56.91,employed,Rejected
99015,516,34491,14.13,unemployed,Rejected
51453,307,29223,73.07,employed,Rejected
119669,845,66570,16.78,unemployed,Rejected
124089,343,3456,27.07,unemployed,Rejected
102066,739,54008,41.72,unemployed,Rejected
50192,714,22284,12.68,employed,Approved
114857,390,14875,29.27,employed,Rejected
174369,710,21616,22.56,unemployed,Rejected
109001,526,23037,24.61,employed,Rejected
185996,416,134680,21.38,employed,Rejected
112038,451,14474,18.28,employed,Rejected
71713,477,11018,62.02,employed,Rejected
184613,805,118677,19.18,unemployed,Rejected
59572,750,31731,15.91,unemployed,Rejected
92004,357,67497,30.5,employed,Rejected
141043,762,8456,5.29,unemployed,Rejected
40114,392,20466,112.94,unemployed,Rejected
172129,342,50345,20.03,unemployed,Rejected
151430,454,60050,5.98,employed,Rejected
42106,816,6654,112.44,employed,Rejected
134755,749,69517,29.2,employed,Approved
117740,589,54578,25.81,unemployed,Rejected
185383,642,87426,5.03,employed,Approved
94487,558,20709,50.83,unemployed,Rejected
172761,444,82325,16.16,unemployed,Rejected
175986,386,99744,14.37,unemployed,Rejected
195666,839,111993,5.69,unemployed,Rejected
115052,616,29074,14.61,unemployed,Rejected
70333,531,11154,19.93,employed,Rejected
46513,819,35506,86.8,employed,Rejected
182013,434,99754,24.25,employed,Rejected
67407,469,3863,49.97,unemployed,Rejected
197304,543,75692,17.29,unemployed,Rejected
159987,544,127562,15.8,unemployed,Rejected
116427,751,37932,30.28,unemployed,Rejected
158270,728,108071,9.87,employed,Rejected
85536,353,63991,54.97,unemployed,Rejected
155242,427,11993,15.25,employed,Rejected
137786,825,109926,10.64,unemployed,Rejected
78205,761,61979,35.69,employed,Rejected
33960,705,13253,111.6,employed,Rejected
41392,683,1923,47.63,unemployed,Rejected
190383,643,37070,7.65,employed,Approved
143851,442,59799,24.85,employed,Rejected
24981,562,5899,76.59,unemployed,Rejected
95524,543,16970,25.9,employed,Rejected
130054,768,15530,7.01,unemployed,Rejected
24308,827,8927,175.6,employed,Rejected
132522,301,47244,34.18,employed,Rejected
69103,387,24632,56.88,employed,Rejected
162627,819,73633,23.53,employed,Approved
143243,344,51709,32.57,unemployed,Rejected
24257,665,12298,38.86,employed,Approved
172542,640,12622,7.97,unemployed,Rejected
108748,479,61899,45.86,unemployed,Rejected
55350,364,3423,63.22,unemployed,Rejected
31483,504,11341,24.6,unemployed,Rejected
124392,784,5799,17.37,employed,Approved
113578,348,44506,42.24,unemployed,Rejected
116474,747,58637,26.8,unemployed,Rejected
68973,808,25074,54.52,unemployed,Rejected
131280,380,79964,25.3,employed,Rejected
97009,628,11494,12.08,unemployed,Rejected
100346,756,56851,44.34,employed,Approved
112155,757,47210,6.93,unemployed,Rejected
187633,358,107485,5.29,unemployed,Rejected
198103,463,38428,3.55,unemployed,Rejected
53090,368,25007,38.55,unemployed,Rejected
168699,333,41222,26.47,unemployed,Rejected
117521,754,76225,8.54,employed,Rejected
116193,707,86139,22.03,unemployed,Rejected
49739,326,33705,34.56,unemployed,Rejected
88623,566,29124,38.64,unemployed,Rejected
72475,425,56890,19.17,employed,Rejected
65260,755,45690,16.48,unemployed,Rejected
37023,597,28897,66.6,employed,Rejected
114763,820,16907,17.16,employed,Approved
82058,805,24651,8.19,unemployed,Rejected
164610,432,116899,27.4,employed,Rejected
101078,707,69903,35.98,unemployed,Rejected
170706,375,84106,7.74,employed,Rejected
142115,829,17821,19.41,employed,Approved
133408,814,17274,6.47,employed,Approved
63163,465,47486,41.39,employed,Rejected
156025,590,33847,6.52,employed,Approved
52812,610,35962,85.71,employed,Rejected
188031,472,41421,23.29,employed,Rejected
167749,342,22292,4.09,employed,Rejected
190689,515,110205,22.28,employed,Rejected
184407,596,80192,25.52,unemployed,Rejected
199566,715,119893,12.27,employed,Rejected
61439,750,32735,52.47,unemployed,Rejected
109179,447,42853,23.34,unemployed,Rejected
54279,679,37808,71.39,employed,Rejected
83370,777,36058,15.63,unemployed,Rejected
56930,399,20019,14.61,unemployed,Rejected
85082,463,41988,31.1,employed,Rejected
150617,827,66373,23.63,unemployed,Rejected
26075,392,17562,118.01,unemployed,Rejected
76398,661,4312,10.72,unemployed,Rejected
176635,781,3143,13.43,employed,Approved
55110,570,27427,52.57,unemployed,Rejected
125010,352,74638,33.9,employed,Rejected
165024,595,51639,5.95,unemployed,Rejected
183379,421,26344,7.32,unemployed,Rejected
108889,674,27090,13.27,unemployed,Rejected
30552,346,5490,24.71,unemployed,Rejected
156139,767,80463,9.45,employed,Approved
180712,626,104010,8.66,unemployed,Rejected
152989,821,65205,26.07,unemployed,Rejected
24361,677,4591,109.63,unemployed,Rejected
184956,327,125410,23.85,unemployed,Rejected
33462,791,18178,48.34,unemployed,Rejected
198448,548,151095,3.56,employed,Rejected
24964,751,14722,102.38,employed,Rejected
73448,720,51788,51.58,unemployed,Rejected
56197,831,37758,33.08,unemployed,Rejected
157750,685,23699,16.2,unemployed,Rejected
109738,662,85319,44.92,unemployed,Rejected
70400,552,37574,33.07,unemployed,Rejected
98017,595,65094,18.96,unemployed,Rejected
111436,580,16974,21.41,unemployed,Rejected
110474,449,6513,21.76,unemployed,Rejected
110797,752,34612,43.31,unemployed,Rejected
72970,577,46624,57.33,unemployed,Rejected
48633,545,4326,42.95,employed,Rejected
33760,402,11823,95.04,unemployed,Rejected
198570,440,145271,2.69,employed,Rejected
191151,787,53286,18.98,unemployed,Rejected
94819,360,31437,11.46,employed,Rejected
129546,480,53034,5.7,unemployed,Rejected
95882,338,40110,5.85,employed,Rejected
94596,765,72211,49.72,unemployed,Rejected
152176,779,26272,15.04,employed,Approved
62596,769,17860,75.86,employed,Rejected
108371,602,26318,38.95,employed,Approved
132119,827,12368,20.05,unemployed,Rejected
68439,443,22207,53.03,employed,Rejected
88363,692,59554,23.13,unemployed,Rejected
99153,311,48127,22.33,employed,Rejected
195056,421,81427,18.2,employed,Rejected
199850,814,31779,12.7,unemployed,Rejected
181120,526,36014,10.69,unemployed,Rejected
139269,682,93004,23.16,unemployed,Rejected
194088,523,22461,10.93,unemployed,Rejected
114839,379,15707,36.55,employed,Rejected
72994,849,11783,20.3,unemployed,Rejected
135825,419,27922,36.51,unemployed,Rejected
153791,756,60432,5.62,employed,Approved
128901,767,8567,32.55,unemployed,Rejected
25706,705,1098,84.32,employed,Rejected
31872,733,23950,86.53,employed,Rejected
35795,370,2039,100.4,unemployed,Rejected
67181,438,48794,70.02,unemployed,Rejected
120264,759,50236,24.73,employed,Approved
54862,656,12696,23.28,unemployed,Rejected
53383,528,2489,9.79,unemployed,Rejected
196553,734,100425,20.28,employed,Approved
140750,654,37129,10.78,employed,Approved
28445,729,1512,159.25,employed,Rejected
37639,403,2100,116.7,unemployed,Rejected
84155,345,58535,37.27,employed,Rejected
76955,357,34023,18.43,unemployed,Rejected
171023,626,85060,25.05,employed,Approved
57554,833,28103,33.86,unemployed,Rejected
35979,479,23241,127.92,unemployed,Rejected
32290,652,22998,146.05,unemployed,Rejected
103554,726,20558,30.67,unemployed,Rejected
68202,850,16792,52.83,employed,Rejected
57840,774,37856,15.17,unemployed,Rejected
166089,842,102821,8.3,employed,Rejected
73303,638,6181,64.64,unemployed,Rejected
44238,848,4377,39.52,unemployed,Rejected
196599,340,50325,4.97,employed,Rejected
74759,640,2004,33.27,employed,Approved
50753,790,14402,41.18,unemployed,Rejected
164724,629,50894,14.3,unemployed,Rejected
190058,667,69566,13.27,unemployed,Rejected
150358,777,106226,7.62,unemployed,Rejected
73248,679,28127,34.82,employed,Approved
58252,316,37261,37.92,unemployed,Rejected
59953,500,16074,44.4,unemployed,Rejected
150888,645,101055,14.49,unemployed,Rejected
140803,472,23185,19.94,employed,Rejected
148009,488,85123,27.38,employed,Rejected
28866,376,2589,169.03,employed,Rejected
56042,536,10897,16.87,employed,Rejected
152574,766,8923,19.31,unemployed,Rejected
24123,306,19076,165.32,unemployed,Rejected
24384,842,18555,94.34,unemployed,Rejected
151652,740,15026,11.04,employed,Approved
59032,546,41617,29.78,unemployed,Rejected
90077,706,49896,11.3,unemployed,Rejected
168111,549,79636,11.78,employed,Rejected
44510,715,25718,67.07,unemployed,Rejected
186919,309,22675,8.68,unemployed,Rejected
189058,639,25998,22.26,employed,Approved
75421,786,4051,30.19,employed,Approved
162352,333,122735,10.32,unemployed,Rejected
74305,447,6042,41.86,unemployed,Rejected
167838,546,103015,25.11,unemployed,Rejected
56687,380,23666,66.72,employed,Rejected
134580,537,45642,7.42,unemployed,Rejected
27766,579,17076,124.35,employed,Rejected
164975,684,25345,20.19,unemployed,Rejected
182166,602,20269,11.61,employed,Approved
60428,689,11110,77.02,unemployed,Rejected
114555,409,1680,9.6,unemployed,Rejected
114350,576,18367,10.23,employed,Approved
132978,759,73710,31.21,unemployed,Rejected
26884,391,19160,104.87,employed,Rejected
120987,312,55238,19.94,unemployed,Rejected
166679,548,45455,25.49,unemployed,Rejected
56396,575,18590,43.86,unemployed,Rejected
36585,471,10042,91.53,unemployed,Rejected
146938,378,33990,19.51,employed,Rejected
175662,500,29042,19.93,employed,Rejected
21774,705,13448,122.95,unemployed,Rejected
107749,740,78908,44.24,employed,Rejected
104060,505,42180,34.97,employed,Rejected
103660,598,65357,44.84,employed,Rejected
118580,587,48843,25.93,employed,Approved
175248,484,8055,28.35,unemployed,Rejected
134938,598,105288,7.06,unemployed,Rejected
56484,610,17559,36.93,employed,Approved
118825,375,79372,28.98,unemployed,Rejected
160081,818,72256,20.25,employed,Approved
160746,387,101788,7.57,employed,Rejected
63604,345,43272,65.89,unemployed,Rejected
132841,408,13924,4.28,unemployed,Rejected
153870,831,77089,27.02,employed,Approved
118073,700,90070,29.94,employed,Rejected
26438,794,10680,44.83,unemployed,Rejected
50426,445,21440,55.19,unemployed,Rejected
74229,833,23826,49.37,unemployed,Rejected
134862,763,9804,19.2,unemployed,Rejected
50168,323,8167,54.78,employed,Rejected
155264,478,21989,26.52,unemployed,Rejected
141124,537,83543,22.35,employed,Rejected
187897,742,8652,16.46,employed,Approved
175242,739,2166,17.39,employed,Approved
92966,364,14336,46.08,employed,Rejected
105454,501,15936,33.18,unemployed,Rejected
158337,620,51939,27.87,unemployed,Rejected
111206,660,81918,31.48,employed,Rejected
181083,386,36113,27.09,unemployed,Rejected
82540,612,12996,15.34,unemployed,Rejected
153909,697,79174,21.06,employed,Approved
130897,490,84296,28.19,employed,Rejected
148356,595,25523,9.57,unemployed,Rejected
182374,354,3512,15.64,unemployed,Rejected
71151,693,34124,58.75,unemployed,Rejected
199489,803,117353,16.16,unemployed,Rejected
41671,331,10571,46.68,employed,Rejected
78941,850,12023,30.3,unemployed,Rejected
164107,823,76066,7.57,employed,Approved
162372,675,108821,24.96,employed,Rejected
163223,523,14423,20.13,employed,Rejected
28449,760,12422,78.12,employed,Rejected
50772,542,39530,36.94,unemployed,Rejected
63511,442,14562,29.19,employed,Rejected
159534,587,71617,27.65,employed,Approved
96712,596,36041,43.98,employed,Approved
127897,360,86969,18.12,employed,Rejected
85451,449,33447,30.55,unemployed,Rejected
57269,575,28146,80.57,unemployed,Rejected
39796,395,17895,78.9,unemployed,Rejected
139195,799,77278,19,employed,Approved
140179,666,105291,6.53,unemployed,Rejected
132628,516,36197,28.22,unemployed,Rejected
108540,433,64614,38.79,unemployed,Rejected
32043,401,16059,143.67,employed,Rejected
61414,751,1044,56.86,unemployed,Rejected
54580,609,18958,28.25,employed,Approved
85638,384,22695,34.29,employed,Rejected
183998,612,113520,11.06,employed,Rejected
20284,518,2276,178.7,employed,Rejected
156169,755,2056,3.59,unemployed,Rejected
130707,435,10283,27.78,employed,Rejected
43417,404,21535,27.09,unemployed,Rejected
55947,691,43046,24.53,employed,Rejected
159069,308,86199,28.29,employed,Rejected
112061,518,20840,41.19,unemployed,Rejected
76949,388,10175,15.05,employed,Rejected
112152,739,19327,22.84,employed,Approved
188983,386,146069,11.25,unemployed,Rejected
192597,608,136724,9.59,employed,Rejected
97474,355,65865,21.22,unemployed,Rejected
83198,811,10307,56.27,employed,Rejected
102961,435,75498,29.48,unemployed,Rejected
163224,476,126102,21.97,employed,Rejected
173973,369,69730,3.39,employed,Rejected
35851,707,10387,106.55,unemployed,Rejected
125454,384,71328,37.45,employed,Rejected
41914,617,17754,24.28,employed,Approved
160611,634,77865,19.06,employed,Approved
134684,544,33044,6.53,employed,Rejected
50405,764,4606,89.53,unemployed,Rejected
51311,312,1743,27.27,employed,Rejected
110886,835,34980,35.08,employed,Approved
53274,575,2923,23.91,unemployed,Rejected
91298,836,35465,10.06,employed,Approved
139327,823,8266,20.53,unemployed,Rejected
116387,461,14487,18.66,employed,Rejected
153385,302,113550,5.14,employed,Rejected
32053,783,13549,90.02,employed,Rejected
29270,729,11544,67.35,employed,Rejected
103869,577,75912,9.73,unemployed,Rejected
151607,353,30253,11.05,employed,Rejected
38068,776,26346,61.73,unemployed,Rejected
42645,767,25177,12.95,employed,Approved
167798,611,64591,27.3,unemployed,Rejected
175108,805,65258,10.17,employed,Approved
127488,324,71981,15.9,unemployed,Rejected
107822,301,50319,44.59,unemployed,Rejected
73790,842,28513,27.93,unemployed,Rejected
57322,586,3877,19.36,employed,Approved
128280,681,99028,27.32,employed,Rejected
152494,436,108474,30.66,unemployed,Rejected
175161,363,35264,19.13,employed,Rejected
88417,622,43762,34.78,unemployed,Rejected
91291,539,27569,10.84,employed,Rejected
60739,408,30462,25.97,unemployed,Rejected
126564,423,47961,31.7,employed,Rejected
100821,774,16717,22.18,employed,Approved
199845,611,11572,22.29,employed,Approved
58882,393,24313,36.12,unemployed,Rejected
32832,606,6697,67.16,employed,Rejected
138541,555,61560,8.09,employed,Approved
51838,312,15567,17.44,employed,Rejected
125010,681,83614,39.98,employed,Rejected
39657,322,7479,23.26,unemployed,Rejected
44111,639,3798,29.54,unemployed,Rejected
64037,743,33514,48.23,employed,Approved
199100,736,93784,8.2,employed,Approved
92084,586,20481,37.17,employed,Approved
189680,602,109001,19.87,unemployed,Rejected
42995,586,9993,70.01,unemployed,Rejected
188467,838,143516,11.32,employed,Rejected
114139,791,64527,35.65,unemployed,Rejected
104306,697,24568,21.78,employed,Approved
176530,524,74644,3.92,employed,Rejected
158787,666,31508,27.25,employed,Approved
84974,546,8328,26.44,employed,Rejected
113009,477,32005,14.64,unemployed,Rejected
175074,328,38251,16.02,employed,Rejected
162114,616,65282,10.18,employed,Approved
34724,538,8169,127.95,employed,Rejected
145301,300,81495,18.4,employed,Rejected
109327,481,8806,23.97,employed,Rejected
173776,445,138965,7.06,unemployed,Rejected
117934,705,14242,36.8,unemployed,Rejected
104568,439,58261,14.65,unemployed,Rejected
65666,665,44616,29.89,employed,Rejected
100431,601,24292,13.29,employed,Approved
168762,333,84418,10.03,employed,Rejected
150071,444,98693,17.79,employed,Rejected
110914,627,84386,14.43,employed,Rejected
137081,311,28483,16.33,employed,Rejected
111876,562,1167,10.8,employed,Approved
134876,729,55266,11.79,unemployed,Rejected
112073,684,63847,10.39,employed,Approved
138302,375,39654,5.2,employed,Rejected
88453,407,45801,11.15,employed,Rejected
62180,376,7101,65.7,unemployed,Rejected
28124,741,6406,170.09,unemployed,Rejected
34039,403,7735,78.43,employed,Rejected
165257,571,74799,29.22,unemployed,Rejected
45143,350,33174,68.11,employed,Rejected
114589,303,12485,28.82,unemployed,Rejected
72343,399,14562,9.24,employed,Rejected
41479,784,11104,30.3,unemployed,Rejected
148213,571,85130,7.4,unemployed,Rejected
117260,690,25455,24.91,unemployed,Rejected
89021,750,35524,39.85,employed,Approved
167913,363,26350,8.88,employed,Rejected
161937,723,30820,26.95,employed,Approved
156991,728,91055,25.54,unemployed,Rejected
144849,606,52747,7.02,employed,Approved
169741,829,39652,25.01,employed,Approved
65319,471,13630,28.91,employed,Rejected
130985,380,58067,38,employed,Rejected
175988,564,18566,14.75,employed,Approved
165847,706,86492,24.83,unemployed,Rejected
140103,312,78014,32.71,unemployed,Rejected
128643,453,75264,11.44,employed,Rejected
167504,403,91143,14.18,unemployed,Rejected
120412,797,80817,35.29,unemployed,Rejected
65141,582,10427,48.22,unemployed,Rejected
123754,639,7460,16.62,unemployed,Rejected
117633,320,40722,23.07,unemployed,Rejected
148875,400,18614,13.39,unemployed,Rejected
104113,575,80295,31.04,employed,Rejected
135793,516,98117,23.33,unemployed,Rejected
118018,357,21836,32.85,employed,Rejected
152853,713,103303,9.09,employed,Rejected
70531,505,17350,12.44,employed,Rejected
33253,669,9977,54.27,unemployed,Rejected
152415,706,17236,30.6,employed,Approved
117639,800,59471,37.34,employed,Approved
173847,658,43864,15.85,unemployed,Rejected
94729,328,7507,32.02,employed,Rejected
78025,530,14548,63.33,unemployed,Rejected
154553,320,2166,32.16,unemployed,Rejected
189704,477,3218,23.4,employed,Rejected
179473,612,73188,26.26,unemployed,Rejected
111412,770,29601,19.31,unemployed,Rejected
197522,833,105111,23.22,employed,Approved
154090,683,85848,27.12,unemployed,Rejected
199414,410,17734,18.34,unemployed,Rejected
187928,632,69458,12.32,unemployed,Rejected
59303,829,4720,34.99,unemployed,Rejected
198456,443,131383,3.36,unemployed,Rejected
129724,714,97564,23.47,employed,Rejected
109959,527,71075,45.45,unemployed,Rejected
152989,607,111184,10.55,employed,Rejected
45586,782,17951,29.36,employed,Approved
191556,391,94135,10.21,employed,Rejected
130224,639,35152,22.54,unemployed,Rejected
50875,781,39245,16.74,employed,Rejected
70998,812,45610,18.1,unemployed,Rejected
98212,723,20762,8.7,employed,Approved
109828,719,60974,38.53,employed,Approved
67279,382,22799,54.93,employed,Rejected
186330,359,119503,2.85,unemployed,Rejected
64198,462,51041,57.77,employed,Rejected
181082,744,113567,25.69,unemployed,Rejected
145147,692,5944,3.65,employed,Approved
23690,629,7244,168.01,employed,Rejected
184282,554,91269,10.76,unemployed,Rejected
46924,692,21061,80.95,employed,Rejected
31984,605,15939,75.22,unemployed,Rejected
55072,650,24543,67.41,employed,Rejected
125746,319,30402,15.88,employed,Rejected
25744,816,5035,62.44,unemployed,Rejected
118354,561,82675,33.83,employed,Rejected
193531,410,6175,24.72,employed,Rejected
129255,754,17199,23.15,unemployed,Rejected
60141,510,42308,83.04,employed,Rejected
130328,403,69197,37.15,unemployed,Rejected
